OBSERVER ID,Year,Month
obsr110959,2010,12
obsr117538,2010,1
obsr215041,2010,11
obsr439989,2010,1
obsr23245,2010,5
obsr41111,2010,8
obsr202934,2010,6
obsr126575,2010,3
obsr21752,2010,11
obsr18777,2010,1
obsr35766,2010,9
obsr41111,2010,3
obsr41111,2010,10
obsr115891,2010,5
obsr106700,2010,4
obsr41111,2010,1
obsr39944,2010,6
obsr174683,2010,2
obsr439989,2010,4
obsr56479,2010,4
obsr39454,2010,9
obsr41111,2010,5
obsr222247,2010,12
obsr190654,2010,9
obsr22151,2010,4
obsr118882,2010,12
obsr222247,2010,9
obsr41111,2010,9
obsr12006,2010,9
obsr97449,2010,6
obsr39454,2010,2
obsr330585,2010,12
obsr439989,2010,6
obsr21752,2010,5
obsr230107,2010,9
obsr222247,2010,11
obsr41111,2010,7
obsr207808,2010,6
obsr41111,2010,4
obsr97449,2010,10
obsr217098,2010,9
obsr285965,2010,5
obsr106700,2010,8
obsr175871,2010,5
obsr39043,2010,5
obsr97449,2010,11
obsr41111,2010,11
obsr224010,2010,9
obsr56479,2010,9
obsr3206,2010,9
obsr17906,2010,9
obsr20635,2010,4
obsr175871,2010,4
obsr17906,2010,7
obsr18303,2010,5
obsr3206,2010,7
obsr229149,2010,12
obsr160583,2010,9
obsr178004,2010,7
obsr150845,2010,8
obsr93009,2010,9
obsr175871,2010,9
obsr162861,2010,11
obsr121989,2010,7
obsr115891,2010,10
obsr56479,2010,8
obsr224100,2010,7
obsr30058,2010,8
obsr41111,2010,6
obsr222247,2010,7
obsr165817,2010,3
obsr91370,2010,2
obsr97449,2010,2
obsr39813,2010,3
obsr117538,2010,6
obsr233357,2010,12
obsr139353,2010,3
obsr18303,2010,10
obsr7291,2010,10
obsr232763,2010,10
obsr439989,2010,7
obsr197809,2010,9
obsr3206,2010,6
obsr8523,2010,6
obsr131471,2010,6
obsr215786,2010,8
obsr97449,2010,3
obsr41808,2010,1
obsr39944,2010,9
obsr138561,2010,10
obsr30058,2010,11
obsr213679,2010,12
obsr294272,2010,12
obsr143887,2010,8
obsr139353,2010,5
obsr439989,2010,8
obsr196032,2010,5
obsr117538,2010,2
obsr56479,2010,5
obsr106700,2010,5
obsr212158,2010,5
obsr106700,2010,6
obsr166094,2010,5
obsr53387,2010,9
obsr7291,2010,9
obsr20565,2010,1
obsr97449,2010,1
obsr217943,2010,5
obsr209698,2010,3
obsr41111,2010,12
obsr281691,2010,11
obsr161805,2010,10
obsr222247,2010,10
obsr31215,2010,4
obsr236484,2010,2
