OBSERVATION DATE,OBSERVER ID
1/1/2010,obsr110959
1/1/2010,obsr117538
1/1/2010,obsr215041
1/1/2010,obsr439989
1/1/2010,obsr23245
1/1/2010,obsr41111
1/1/2010,obsr202934
1/1/2010,obsr126575
1/1/2010,obsr21752
1/1/2010,obsr18777
1/1/2010,obsr35766
1/1/2010,obsr115891
1/1/2010,obsr106700
1/1/2010,obsr39944
1/1/2010,obsr174683
1/1/2010,obsr56479
1/1/2010,obsr39454
1/1/2010,obsr222247
1/1/2010,obsr190654
1/1/2010,obsr22151
1/1/2010,obsr118882
1/1/2010,obsr12006
1/1/2010,obsr97449
1/1/2010,obsr330585
1/1/2010,obsr230107
1/1/2010,obsr207808
1/1/2010,obsr217098
1/1/2010,obsr285965
1/1/2010,obsr175871
1/1/2010,obsr39043
1/1/2010,obsr224010
1/1/2010,obsr3206
1/1/2010,obsr17906
1/1/2010,obsr20635
1/1/2010,obsr18303
1/1/2010,obsr229149
1/1/2010,obsr160583
1/1/2010,obsr178004
1/1/2010,obsr150845
1/1/2010,obsr93009
1/1/2010,obsr162861
1/1/2010,obsr121989
1/1/2010,obsr224100
1/1/2010,obsr30058
1/1/2010,obsr165817
1/1/2010,obsr91370
1/1/2010,obsr39813
1/1/2010,obsr233357
1/1/2010,obsr139353
1/1/2010,obsr7291
1/1/2010,obsr232763
1/1/2010,obsr197809
1/1/2010,obsr8523
1/1/2010,obsr131471
1/1/2010,obsr215786
1/1/2010,obsr41808
1/1/2010,obsr138561
1/1/2010,obsr213679
1/1/2010,obsr294272
1/1/2010,obsr143887
1/1/2010,obsr196032
1/1/2010,obsr212158
1/1/2010,obsr166094
1/1/2010,obsr53387
1/1/2010,obsr20565
1/1/2010,obsr217943
1/1/2010,obsr209698
1/1/2010,obsr281691
1/1/2010,obsr161805
1/1/2010,obsr31215
1/1/2010,obsr236484
1/1/2010,obsr202251
1/1/2010,obsr198159
1/1/2010,obsr123217
1/1/2010,obsr20226
1/1/2010,obsr183556
1/1/2010,obsr18128
1/1/2010,obsr128058
1/1/2010,obsr99498
1/1/2010,obsr198314
1/1/2010,obsr203489
1/1/2010,obsr134567
1/1/2010,obsr181806
1/1/2010,obsr57052
1/1/2010,obsr42623
1/1/2010,obsr11194
1/1/2010,obsr50333
1/1/2010,obsr252215
1/1/2010,obsr177019
1/1/2010,obsr185788
1/1/2010,obsr29782
1/1/2010,obsr143147
1/1/2010,obsr207553
1/1/2010,obsr110441
1/1/2010,obsr187253
1/1/2010,obsr206933
1/1/2010,obsr118164
1/1/2010,obsr178174
1/1/2010,obsr195365
1/1/2010,obsr39398
1/1/2010,obsr91247
1/1/2010,obsr110473
1/1/2010,obsr24203
1/1/2010,obsr7108
1/1/2010,obsr53100
1/1/2010,obsr210133
1/1/2010,obsr112083
1/1/2010,obsr224415
1/1/2010,obsr23208
1/1/2010,obsr112579
1/1/2010,obsr1578
1/1/2010,obsr193293
1/1/2010,obsr133408
1/1/2010,obsr44181
1/1/2010,obsr51241
1/1/2010,obsr28990
1/1/2010,obsr341100
1/1/2010,obsr97533
1/1/2010,obsr53794
1/1/2010,obsr121444
1/1/2010,obsr52522
1/1/2010,obsr166861
1/1/2010,obsr146205
1/1/2010,obsr128974
1/1/2010,obsr166632
1/1/2010,obsr184551
1/1/2010,obsr58253
1/1/2010,obsr229743
1/1/2010,obsr122047
1/1/2010,obsr227190
1/1/2010,obsr21166
1/1/2010,obsr176734
1/1/2010,obsr224015
1/1/2010,obsr89562
1/1/2010,obsr14526
1/1/2010,obsr122218
1/1/2010,obsr38868
1/1/2010,obsr342555
1/1/2010,obsr42717
1/1/2010,obsr173272
1/1/2010,obsr60088
1/1/2010,obsr43068
1/1/2010,obsr161403
1/1/2010,obsr202511
1/1/2010,obsr109517
1/1/2010,obsr649385
1/1/2010,obsr21346
1/1/2010,obsr89518
1/1/2010,obsr404879
1/1/2010,obsr190508
1/1/2010,obsr98836
1/1/2010,obsr126911
1/1/2010,obsr227219
1/1/2010,obsr2267
1/1/2010,obsr97519
1/1/2010,obsr181634
1/1/2010,obsr229871
1/1/2010,obsr192204
1/1/2010,obsr194790
1/1/2010,obsr30455
1/1/2010,obsr60754
1/1/2010,obsr122439
1/1/2010,obsr178949
1/1/2010,obsr95262
1/1/2010,obsr226882
1/1/2010,obsr105328
1/1/2010,obsr229873
1/1/2010,obsr165990
1/1/2010,obsr282514
1/1/2010,obsr143073
1/1/2010,obsr128311
1/1/2010,obsr142692
1/1/2010,obsr127757
1/1/2010,obsr103363
1/1/2010,obsr228920
1/1/2010,obsr280086
1/1/2010,obsr102462
1/1/2010,obsr89131
1/1/2010,obsr155029
1/1/2010,obsr160067
1/1/2010,obsr42655
1/1/2010,obsr210678
1/1/2010,obsr102904
1/1/2010,obsr105078
1/1/2010,obsr156744
1/1/2010,obsr186105
1/1/2010,obsr238387
1/1/2010,obsr40728
1/1/2010,obsr185422
1/1/2010,obsr26228
1/1/2010,obsr213689
1/1/2010,obsr151133
1/1/2010,obsr216196
1/1/2010,obsr145848
1/1/2010,obsr141449
1/1/2010,obsr190748
1/1/2010,obsr100914
1/1/2010,obsr33868
1/1/2010,obsr51325
1/1/2010,obsr185621
1/1/2010,obsr138721
1/1/2010,obsr8348
1/1/2010,obsr18090
1/1/2010,obsr216045
1/1/2010,obsr244792
1/1/2010,obsr217058
1/1/2010,obsr237329
1/1/2010,obsr46566
1/1/2010,obsr57774
1/1/2010,obsr142118
1/1/2010,obsr94050
1/1/2010,obsr322860
1/1/2010,obsr392087
1/1/2010,obsr1066210
1/1/2010,obsr206932
1/1/2010,obsr234097
1/1/2010,obsr91119
1/1/2010,obsr182394
1/1/2010,obsr155183
1/1/2010,obsr224444
1/1/2010,obsr101592
1/1/2010,obsr89428
1/1/2010,obsr58165
1/1/2010,obsr234593
1/1/2010,obsr160930
1/1/2010,obsr88554
1/1/2010,obsr97293
1/1/2010,obsr211837
1/1/2010,obsr164612
1/1/2010,obsr297728
1/1/2010,obsr194111
1/1/2010,obsr107039
1/1/2010,obsr928012
1/1/2010,obsr228248
1/1/2010,obsr171621
1/1/2010,obsr22529
1/1/2010,obsr265943
1/1/2010,obsr195212
1/1/2010,obsr231923
1/1/2010,obsr172619
1/1/2010,obsr173028
1/1/2010,obsr120366
1/1/2010,obsr145570
1/1/2010,obsr208119
1/1/2010,obsr41746
1/1/2010,obsr236162
1/1/2010,obsr55778
1/1/2010,obsr243748
1/1/2010,obsr167259
1/1/2010,obsr213627
1/1/2010,obsr195073
1/1/2010,obsr219412
1/1/2010,obsr29183
1/1/2010,obsr141075
1/1/2010,obsr233047
1/1/2010,obsr174738
1/1/2010,obsr173469
1/1/2010,obsr189310
1/1/2010,obsr673869
1/1/2010,obsr92769
1/1/2010,obsr181463
1/1/2010,obsr204797
1/1/2010,obsr60921
1/1/2010,obsr203451
1/1/2010,obsr133050
1/1/2010,obsr134374
1/1/2010,obsr183456
1/1/2010,obsr53511
1/1/2010,obsr131566
1/1/2010,obsr129392
1/1/2010,obsr232208
1/1/2010,obsr176731
1/1/2010,obsr229016
1/1/2010,obsr204092
1/1/2010,obsr236803
1/1/2010,obsr180878
1/1/2010,obsr184015
1/1/2010,obsr8107
1/1/2010,obsr176659
1/1/2010,obsr102203
1/1/2010,obsr6553
1/1/2010,obsr41337
1/1/2010,obsr229151
1/1/2010,obsr209915
1/1/2010,obsr210456
1/1/2010,obsr23110
1/1/2010,obsr163772
1/1/2010,obsr95598
1/1/2010,obsr94907
1/1/2010,obsr213024
1/1/2010,obsr86405
1/1/2010,obsr235333
1/1/2010,obsr149113
1/1/2010,obsr116821
1/1/2010,obsr206757
1/1/2010,obsr211078
1/1/2010,obsr175003
1/1/2010,obsr238010
1/1/2010,obsr318670
1/1/2010,obsr200252
1/1/2010,obsr51193
1/1/2010,obsr107791
1/1/2010,obsr136531
1/1/2010,obsr186637
1/1/2010,obsr163891
1/1/2010,obsr99896
1/1/2010,obsr197993
1/1/2010,obsr96691
1/1/2010,obsr163954
1/1/2010,obsr50454
1/1/2010,obsr147163
1/1/2010,obsr104783
1/1/2010,obsr219787
1/1/2010,obsr312385
1/1/2010,obsr112160
1/1/2010,obsr295684
1/1/2010,obsr36128
1/1/2010,obsr233983
1/1/2010,obsr185577
1/1/2010,obsr308407
1/1/2010,obsr167759
1/1/2010,obsr95641
1/1/2010,obsr188811
1/1/2010,obsr20528
1/1/2010,obsr218301
1/1/2010,obsr131921
1/1/2010,obsr211888
1/1/2010,obsr188956
1/1/2010,obsr230134
1/1/2010,obsr178040
1/1/2010,obsr31905
1/1/2010,obsr219079
1/1/2010,obsr98373
1/1/2010,obsr206866
1/1/2010,obsr754139
1/1/2010,obsr211346
1/1/2010,obsr146572
1/1/2010,obsr115623
1/1/2010,obsr100356
1/1/2010,obsr210461
1/1/2010,obsr126898
1/1/2010,obsr43705
1/1/2010,obsr221322
1/1/2010,obsr649515
1/1/2010,obsr194605
1/1/2010,obsr121519
1/1/2010,obsr234084
1/1/2010,obsr194389
1/1/2010,obsr218210
1/1/2010,obsr221695
1/1/2010,obsr197162
1/1/2010,obsr91755
1/1/2010,obsr159915
1/1/2010,obsr48290
1/1/2010,obsr280566
1/1/2010,obsr144758
1/1/2010,obsr216087
1/1/2010,obsr167846
1/1/2010,obsr134420
1/1/2010,obsr146271
1/1/2010,obsr191780
1/1/2010,obsr38567
1/1/2010,obsr228967
1/1/2010,obsr208163
1/1/2010,obsr222916
1/1/2010,obsr187109
1/1/2010,obsr200944
1/1/2010,obsr21578
1/1/2010,obsr237437
1/1/2010,obsr56433
1/1/2010,obsr212445
1/1/2010,obsr336273
1/1/2010,obsr88263
1/1/2010,obsr176741
1/1/2010,obsr218315
1/1/2010,obsr450977
1/1/2010,obsr40608
1/1/2010,obsr222379
1/1/2010,obsr205088
1/1/2010,obsr130801
1/1/2010,obsr237820
1/1/2010,obsr183708
1/1/2010,obsr18173
1/1/2010,obsr200467
1/1/2010,obsr415433
1/1/2010,obsr1070599
1/1/2010,obsr206296
1/1/2010,obsr219537
1/1/2010,obsr138370
1/1/2010,obsr429131
1/1/2010,obsr352579
1/1/2010,obsr176999
1/1/2010,obsr162174
1/1/2010,obsr268817
1/1/2010,obsr89349
1/1/2010,obsr2808
1/1/2010,obsr100435
1/1/2010,obsr14774
1/1/2010,obsr52125
1/1/2010,obsr101835
1/1/2010,obsr26880
1/1/2010,obsr226384
1/1/2010,obsr90347
1/1/2010,obsr502435
1/1/2010,obsr104651
1/1/2010,obsr648044
1/1/2010,obsr589726
1/1/2010,obsr642042
1/1/2010,obsr131357
1/1/2010,obsr299520
1/1/2010,obsr229444
1/1/2010,obsr619614
1/1/2010,obsr147638
1/1/2010,obsr99548
1/1/2010,obsr338954
1/1/2010,obsr131082
1/1/2010,obsr95514
1/1/2010,obsr553622
1/1/2010,obsr88599
1/1/2010,obsr7918
1/1/2010,obsr264466
1/1/2010,obsr223446
1/1/2010,obsr202812
1/1/2010,obsr180107
1/1/2010,obsr23029
1/1/2010,obsr280167
1/1/2010,obsr15309
1/1/2010,obsr148204
1/1/2010,obsr88424
1/1/2010,obsr189349
1/1/2010,obsr300862
1/1/2010,obsr131563
1/1/2010,obsr201666
